,Test,English,Gender,Participant,Dominance,Delta_mean,Delta_std,Delta_ptp,Delta_var,Delta_minim,Delta_maxim,Delta_argminim,Delta_argmaxim,Delta_rms,Delta_skewness,Delta_kurtosis,Theta_mean,Theta_std,Theta_ptp,Theta_var,Theta_minim,Theta_maxim,Theta_argminim,Theta_argmaxim,Theta_rms,Theta_skewness,Theta_kurtosis,Alpha_mean,Alpha_std,Alpha_ptp,Alpha_var,Alpha_minim,Alpha_maxim,Alpha_argminim,Alpha_argmaxim,Alpha_rms,Alpha_skewness,Alpha_kurtosis,Beta_mean,Beta_std,Beta_ptp,Beta_var,Beta_minim,Beta_maxim,Beta_argminim,Beta_argmaxim,Beta_rms,Beta_skewness,Beta_kurtosis,Gamma_mean,Gamma_std,Gamma_ptp,Gamma_var,Gamma_minim,Gamma_maxim,Gamma_argminim,Gamma_argmaxim,Gamma_rms,Gamma_skewness,Gamma_kurtosis
196,RHC,No,Male,116.0,Dominant,0.5152495396617648,0.3436470627722563,1.3634544499999999,0.11809330375199908,-0.18000735,1.1834471,45.0,5.0,0.6193346364233633,0.15270042179883453,-0.6232365084144984,0.20428270977941176,0.36769975164654023,1.43512362,0.13520310736092736,-0.49240762,0.942716,34.0,5.0,0.4206358673196411,0.44463736447866575,-0.382860220751033,0.41313104166176473,0.3285092922270633,1.187592989,0.10791835507952609,-0.024874289,1.1627187,34.0,55.0,0.5278215727535782,0.3930350860315782,-1.0044772713234664,0.6429058182352941,0.3960931327115974,1.4177227,0.15688976978128713,0.0,1.4177227,9.0,54.0,0.7551275792222664,-0.03639564148336215,-1.115594933632847,0.4424259373529412,0.41436503160591076,1.32949705,0.17169837941776742,-0.11724665,1.2122504,47.0,58.0,0.6061675424009406,0.5245019498178695,-1.116591287685237
197,RHC,No,Male,117.0,Dominant,0.6124752494594594,0.5003831129387105,1.3173237,0.25038325971423436,0.0,1.3173237,6.0,0.0,0.7908913900875779,-0.24373434800313107,-1.6566685589295003,0.4087379748648649,0.43570465058270913,1.5943921,0.18983854253940066,0.0,1.5943921,6.0,0.0,0.5974154958117772,0.7102051593276323,-0.6110173978132609,0.39010127918918924,0.3875188123622504,1.1194936,0.150170829934649,0.0,1.1194936,6.0,0.0,0.5498634721089325,0.43571764805344887,-1.3709412901670461,0.3897976648648649,0.39640889150705766,1.1956716,0.1571400092658542,0.0,1.1956716,6.0,1.0,0.5559516425013562,0.6177910476858324,-1.0665985058726757,0.20865093886486483,0.3371586362742155,0.9037509140000001,0.11367594601428874,-0.058817584,0.84493333,21.0,14.0,0.3964986258532031,1.0621890140467265,-0.7406697380891099
198,RHC,No,Male,118.0,Dominant,0.440519133125,0.33331388426893166,1.1963864,0.11109814544644275,-0.1593683,1.0370181,9.0,18.0,0.5524085916200473,0.07134831369234865,-1.14040458599414,0.25548995860416673,0.30144205115600864,1.47680093,0.09086731020514173,-0.43206683,1.0447341,10.0,20.0,0.3951486165390188,-0.013706014920032785,-0.32845181740133667,0.379746068375,0.2986341720544383,1.23342187,0.08918236871863988,-0.23468412,0.99873775,16.0,22.0,0.4831039693118967,0.019717558228572556,-0.8178524087001771,0.3762105588541667,0.3311522821615664,0.9660519630000001,0.1096618339808137,-0.034183163,0.9318688,9.0,35.0,0.5011947910485284,0.4242337331962356,-1.4238307041232705,-0.056744493041666656,0.23100260377603038,0.90759212,0.05336220295130569,-0.43233106,0.47526106,14.0,24.0,0.23787000744495185,0.332992298151491,-0.9295639085064682
199,RHC,Yes,Male,119.0,Dominant,0.7489805575858588,0.3885045079284308,1.7634630900000001,0.15093575268071213,-0.05013269,1.7133304,29.0,95.0,0.8437461871453618,0.05126763047720947,-0.13949154631628158,0.3901741183636364,0.3310928744672308,1.49756293,0.10962249152297344,-0.29266733,1.2048956,52.0,95.0,0.5117209534148611,0.22883570517499305,-0.4614890877618789,0.7014805559292928,0.3796776235571145,1.602809983,0.14415509782997796,-0.062114283,1.5406957,55.0,14.0,0.7976403125324396,0.14962646338109595,-1.1644381457541473,0.35660618019191914,0.32252033484266535,1.05198845,0.10401936638702498,-0.21443751,0.83755094,47.0,85.0,0.48081944026640244,-0.024540709427448914,-1.7270959325127377,-0.09109286959595958,0.3791358577402341,1.2840799,0.14374399862442305,-0.7263842,0.5576957,66.0,95.0,0.38992551790777885,0.12003071767754664,-1.475150321574271
200,RHC,Yes,Male,120.0,Dominant,0.792410281590909,0.44070166323821314,1.5065274,0.19421795598092742,0.0,1.5065274,20.0,12.0,0.9067149554032464,-0.6314337391530197,-0.5655855157493974,0.5609925593181818,0.34525638412843673,1.1498196,0.11920197078144266,0.0,1.1498196,20.0,7.0,0.6587219613705061,-0.23043282441581603,-0.8885285523623545,0.7925142875,0.4325867496876984,1.3771724,0.18713129600536743,0.0,1.3771724,20.0,32.0,0.9028899112832085,-0.7494661751131398,-0.5212702464514907,0.8786383009090906,0.4791749095352852,1.4798732,0.22960859392814872,0.0,1.4798732,20.0,28.0,1.0008066035716203,-0.6865119600187158,-0.4436461007383099,0.5867236022727274,0.37845892556942723,1.1586804,0.14323115834316524,0.0,1.1586804,20.0,32.0,0.6981946317518136,-0.004006164436479795,-0.9720297351347815
201,RHC,Yes,Male,121.0,Dominant,-0.0944478232142857,1.4957377465866522,5.3501102,2.237231406564116,-3.8355527,1.5145575,14.0,43.0,1.4987167170196083,-1.2743838654485378,0.5794949105785987,-0.3209896485714286,1.4098802650738191,5.2959862,1.9877623618446225,-4.0136266,1.2823596,15.0,43.0,1.445958753331032,-1.4028291167512432,0.8379023410508015,-0.11320537892857141,1.2534827309011054,4.9484732,1.5712189566672932,-3.4493935,1.4990797,15.0,41.0,1.2585842897818382,-1.3252367426496436,1.1632298162649688,-0.08426771732142854,1.2241368757221747,4.500628799999999,1.498511090502847,-3.31993,1.1806988,16.0,31.0,1.2270338783772072,-1.3945869482882096,0.8201540076964609,-0.2658019413928572,1.2190192749266338,4.1786395,1.4860079926426557,-3.2716773,0.9069622,15.0,49.0,1.2476612780281624,-1.4049390532066537,0.7096368805275444
202,RHC,Yes,Female,122.0,NonDominant,0.8858866494642857,0.42295717242770153,1.5105833,0.17889276970803644,0.0,1.5105833,24.0,17.0,0.9816760796755183,-0.9470187881152903,0.2415114901825386,0.6781644644642858,0.3546761049255335,1.1246408,0.12579513940514803,0.0,1.1246408,24.0,17.0,0.7653118189779115,-0.7410154689727457,-0.6007956283788927,0.8246808848214285,0.39513392711900613,1.308055,0.15613082036048803,0.0,1.308055,24.0,37.0,0.9144557846885449,-1.0556873245839717,0.041390442095909474,0.8496651241071429,0.3764201524888213,1.2457961,0.1416921311997075,0.0,1.2457961,24.0,12.0,0.9293131626764543,-1.4359951532454027,0.8879593614829941,0.5667935399999999,0.31606655712372894,1.1152337,0.09989806853204741,0.0,1.1152337,24.0,16.0,0.6489630078192278,-0.19388883551198627,-0.4795554544676728
203,RHC,Yes,Female,123.0,Dominant,0.27433922384375004,0.3593639380085417,1.10108342,0.12914243994100702,-0.12072398,0.98035944,23.0,15.0,0.45211110324808235,0.7422933971688246,-0.9471803001412131,0.12082055618750001,0.20323892827326312,0.70447613,0.041306061965664595,-0.14992283,0.5545533,20.0,9.0,0.2364395668307685,0.7776938065122457,-0.5910686522091133,0.1619962943125,0.1971613051577597,0.622154562,0.038872580251511246,-0.047867212,0.57428735,20.0,12.0,0.25517715341012287,0.7636490779156252,-0.8194350852028962,0.2490975665625,0.25909778952706664,0.90702504,0.06713166453781211,0.0,0.90702504,0.0,24.0,0.35941794919726977,0.9517160459251679,0.29009537056771295,0.01824218565625,0.188247011074648,0.9278918199999999,0.035436937178538644,-0.31988838,0.60800344,18.0,24.0,0.18912883047292325,1.6030723828182434,3.6780970561820148
204,RHC,Yes,Female,124.0,Dominant,0.4896237404814815,0.3352198409482942,1.125665,0.11237234176539966,0.0,1.125665,23.0,32.0,0.5933833069850186,0.04669730234052759,-0.9142588290263096,0.422723052962963,0.3223584729526888,1.3954434,0.10391498508438941,-0.2770047,1.1184387,13.0,32.0,0.5316105384496411,0.05744468179887518,-0.1269967730449295,0.511781499462963,0.30151873636238474,0.9486633,0.09091354837756928,0.0,0.9486633,23.0,42.0,0.593998191554594,-0.5040158008647414,-1.0072241050793511,0.7609718431481481,0.4101789039246169,1.3592457,0.16824673322480013,0.0,1.3592457,23.0,31.0,0.8644795424352677,-0.49652320317989973,-0.6194114867236467,0.551893716,0.4099841828113136,1.2350367,0.16808703015546061,0.0,1.2350367,23.0,40.0,0.6875126936397243,0.09718202925501995,-1.38169357627616
205,RHC,No,Male,126.0,NonDominant,0.4075269863571428,0.367268571687298,1.5262843799999999,0.13488620374922794,-0.38829118,1.1379932,57.0,28.0,0.54860226791234,-0.15300196831300622,-1.0044230946067083,0.5336213950844156,0.3162129326091059,1.37774119,0.09999061874925094,-0.19668609,1.1810551,67.0,116.0,0.6202760772761504,-0.17702995712554173,-0.7052372283574067,0.651660633844156,0.3265115861111594,1.303651764,0.10660981586482504,-0.044962164,1.2586896,114.0,121.0,0.7288836653177185,-0.25767942197406557,-0.9385564872029177,0.8259222794805195,0.44997559892103245,1.3755074,0.20247803962434185,0.0,1.3755074,101.0,146.0,0.940545401012965,-0.4866417954504105,-1.4678270265618245,0.7329967611493508,0.616773585118123,2.05727574,0.38040965529946247,-0.38400754,1.6732682,61.0,142.0,0.9579634163969419,-0.412718089256249,-1.1973970957621238
206,RHC,Yes,Male,127.0,Dominant,0.47100093760655737,0.6082150219740458,2.09739967,0.36992551295488896,-0.44765127,1.6497484,43.0,0.0,0.7692641914070517,0.4881780915851567,-0.92013400418689,0.3141023007704918,0.5338443837525529,2.27665788,0.284989826064143,-0.39628908,1.8803688,27.0,0.0,0.6193949316982337,0.7604411021388201,-0.2772813259985578,0.42379348234426234,0.35173109070943137,1.3274755,0.12371476017164623,0.0,1.3274755,6.0,0.0,0.5507410243019152,0.721160913483804,-0.3762520201964361,0.22988722863934427,0.29545035085789234,1.02003895,0.08729090982205168,-0.26431605,0.7557229,18.0,5.0,0.3743515028866985,0.42288161162573895,-1.3615295655740856,-0.211030249295082,0.2605900372772145,0.82092424,0.06790716752814006,-0.64129496,0.17962928,43.0,44.0,0.33532213414220735,0.13087169623857559,-1.454210220726237
207,RHC,No,Male,128.0,Dominant,0.6333287791666666,0.6364916666561296,1.4845434,0.4051216417226975,0.0,1.4845434,8.0,4.0,0.8979014334788857,0.03138893292891457,-1.9529566063915988,0.6172098125000001,0.779427991877364,2.0983717,0.6075079945219802,0.0,2.0983717,8.0,2.0,0.9942112185890206,0.7293250271402459,-1.2700015289278854,0.7650039475,0.9613498333057622,2.2952948,0.9241935019970168,0.0,2.2952948,8.0,1.0,1.2285863997650306,0.6721035981331154,-1.4493019307412978,0.4322530783333334,0.5245498182235392,1.3410475,0.275152511798348,0.0,1.3410475,8.0,2.0,0.6797023139043965,0.6338297947322932,-1.44415186893883,0.09906858416666665,0.13593832957686677,0.42213807,0.018479229448148855,0.0,0.42213807,8.0,0.0,0.16820765088704132,1.0966462402121981,-0.2877224420203315
208,RHC,Yes,Male,129.0,Dominant,0.7073203589999998,0.3975129508766932,1.4579236500000001,0.15801654611469632,-0.05068365,1.40724,48.0,12.0,0.8113683727941242,-0.6123557038070038,-0.6976943722964379,0.527972486,0.32525899142115827,1.1601423,0.1057934115003091,0.0,1.1601423,19.0,52.0,0.6201196315819468,0.031657063394315066,-0.8285404462253809,0.5810961146666667,0.32346683008515015,1.1720836,0.1046307901653354,0.0,1.1720836,19.0,12.0,0.6650590083940154,-0.3663503312954691,-0.6811655457567971,0.5713157663333334,0.3021070587626732,1.0409826,0.09126867495423326,0.0,1.0409826,19.0,50.0,0.6462742295769477,-0.4510625553394913,-0.5611708623216831,0.2732354032666666,0.2595498013129107,1.00297559,0.06736609936157144,-0.17093469,0.8320409,1.0,45.0,0.3768602989966831,0.37424738860534956,-1.0038083563494449
209,RHC,Yes,Male,130.0,Dominant,0.598423964680851,1.2509787997045687,4.913686800000001,1.5649479573102836,-3.2927802,1.6209066,0.0,4.0,1.386744099974697,-2.478919792836851,5.032361866063837,0.12973720006382977,1.2163922724260228,4.8285102,1.4796101604177436,-3.7457774,1.0827328,0.0,40.0,1.2232914213294177,-2.676178889036559,5.81749670041307,0.23180983931914895,1.0852038949953704,4.3552328,1.1776674937131228,-3.218384,1.1368488,0.0,40.0,1.1096861246849454,-2.6658493149975753,5.736197830174378,0.09532996380851062,1.0288199103418716,4.2478072000000004,1.0584704079158567,-3.1502047,1.0976025,0.0,40.0,1.0332270853571293,-2.5649532724514796,5.51339800627817,-0.1997665156382979,0.9763896559733157,4.0915938,0.9533367602916898,-3.1871436,0.9044502,0.0,42.0,0.9966159847513766,-2.2456577473904047,4.656002905794183
210,RHC,Yes,Male,131.0,Dominant,1.1459473420754718,0.5068390700384467,2.0357082,0.25688584291743755,0.0,2.0357082,29.0,36.0,1.2530287920583771,-0.39520647632451894,0.0026965166798902374,0.9958086524528302,0.489904465362774,1.868376,0.24000638518238543,0.0,1.868376,29.0,36.0,1.109793339988264,-0.22938329260105744,-0.4674434019048985,0.9932893081132075,0.4543118389328741,1.8119752,0.20639924699456974,0.0,1.8119752,29.0,34.0,1.0922558750616012,-0.16143901522958973,-0.04302710356356032,0.8165884073584904,0.3039201510671159,1.174027,0.09236745822465856,0.0,1.174027,29.0,36.0,0.8713117038448036,-1.1498937343484308,1.3524444786014893,0.4242272007547169,0.3444389981729677,1.22952817,0.11863822346239764,-0.15985277,1.0696754,20.0,9.0,0.5464493950244437,-0.10910588290247085,-1.1447954573266237
211,RHC,Yes,Female,132.0,Dominant,0.480321536,0.537358309427283,1.3109834,0.28875395271054766,0.0,1.3109834,0.0,18.0,0.7207376295545744,0.3784667595622688,-1.6014632823829267,0.38142162,0.4259618855788754,1.058512,0.1814435279659109,0.0,1.058512,0.0,18.0,0.5717744137064331,0.37829577885068233,-1.576430245374903,0.3577393181333334,0.4228306977492618,1.0058422759999999,0.1787857989591276,-0.017846676,0.9879956,12.0,17.0,0.5538620935735085,0.4359925786764604,-1.6269697998310007,0.27287413666666666,0.3133213127882452,0.78236556,0.09817024504734938,0.0,0.78236556,0.0,8.0,0.4154883145275304,0.4815820056759782,-1.4701981459264046,-0.0386691157,0.0977669823928295,0.30868054,0.009558382846199831,-0.2363801,0.07230044,18.0,8.0,0.10513649868252138,-1.1306322227547991,-0.13782875158006114
212,RHC,Yes,Female,133.0,Dominant,0.5779835627272727,0.4243051260260683,1.1974199,0.1800348399719977,0.0,1.1974199,14.0,29.0,0.7170075583666528,-0.06518215732125492,-1.358929089912543,0.4454089109090909,0.3159975427401175,1.160198,0.09985444701779236,0.0,1.160198,14.0,0.0,0.5461167869009474,0.020168570748743196,-0.810704866176605,0.5834191112121212,0.3670462271801874,1.2087965,0.13472293288720977,0.0,1.2087965,14.0,0.0,0.6892755560838867,-0.5656224155191726,-0.9457022681508964,0.6430500027272726,0.37658732204684736,1.0804977,0.14181801112641593,0.0,1.0804977,14.0,26.0,0.7452055536118617,-0.9782119588721392,-0.7426213903069367,0.5292347978787877,0.3347575611006439,0.92512566,0.11206262471405133,0.0,0.92512566,14.0,10.0,0.6262204851327149,-0.6146867485402217,-1.1237687323140355
