TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Partcipant,Test,Gender,English,Dominance
16:01.8,0.236644,1.49477,0,0.11910636,0.37203178,1.2200973,0,0.083818756,0.9121217,0.46499658,0,0.6418139,0.9689239,0.028877808,0,1.1438293,0.76739246,0.00867746,0,0.8541556,879.59705,1513.0037,668.0586,861.06226,835.6777,0.686523438,0.081848145,0.75402832,-0.306549072,-5.345916748,2.572021484,1,1,4,4,1,50,,127,RHC,M,Yes,Left
16:02.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,128,RHC,M,Yes,Left
16:02.8,0.5602595,1.49477,0,0.29947078,0.4779432,1.2200973,0,0.09369572,0.90661275,0.46499658,0,0.550554,0.95456153,0.028877808,0,1.1486249,0.76439,0.00867746,0,0.8343635,890.87915,24.981686,842.9304,879.19415,737.3626,0.65826416,0.083496094,0.771362305,1.943969727,-5.144042969,-1.704711914,1,1,4,4,1,50,,129,RHC,M,Yes,Left
16:03.8,0.62852216,1.49477,0,0.29947078,0.46247667,1.2200973,0,0.09369572,0.61540395,0.46499658,0,0.550554,0.97248685,0.028877808,0,1.1486249,0.89949703,0.00867746,0,0.8343635,883.22345,808.68134,931.1722,867.1062,782.8938,0.663208008,0.107116699,0.771728516,3.469238281,-4.78515625,0.246734619,1,1,4,4,1,50,,130,RHC,M,Yes,Left
16:04.8,-0.024661034,1.49477,0,0.5172167,0.24058715,1.2200973,0,0.24026187,0.69000226,0.46499658,0,0.7839399,0.84819704,0.028877808,0,0.94736344,0.74494976,0.00867746,0,1.0116391,890.07324,732.9304,776.4469,850.58606,861.4652,0.663818359,0.096984863,0.756164551,2.706604004,-5.570220947,-1.02432251,1,1,4,4,1,50,,131,RHC,M,Yes,Left
16:05.8,0.20140299,1.49477,0,0.2626241,0.19837953,1.2200973,0,0.06842596,0.8000774,0.46499658,0,0.6675146,0.8262357,0.028877808,0,0.98800653,0.7427855,0.00867746,0,0.9187787,863.8828,986.3736,1019.81683,876.3736,720.0366,0.668457031,0.100891113,0.758605957,4.67300415,-4.381408691,0.897216797,1,1,4,4,1,50,,132,RHC,M,Yes,Left
16:06.8,0.22230682,1.49477,0,0.21712948,0.20610194,1.2200973,0,0.13216048,0.89951164,0.46499658,0,0.5572663,0.91709954,0.028877808,0,0.9402662,0.8474545,0.00867746,0,0.9608889,869.92676,618.0952,966.2271,867.50916,707.5458,0.677185059,0.105041504,0.757324219,4.867401123,-3.910369873,0.261688232,1,1,4,4,1,50,,133,RHC,M,Yes,Left
16:07.8,0.20533562,1.49477,0,0.33843955,0.18809289,1.2200973,0,0.06324983,0.6736416,0.46499658,0,0.5983239,1.0003725,0.028877808,0,1.050428,0.6768586,0.00867746,0,0.9215961,876.3736,1423.956,724.4689,860.65936,859.85345,0.685424805,0.098510742,0.744140625,2.489776611,-5.039367676,0.171966553,1,1,4,4,1,50,,134,RHC,M,Yes,Left
16:08.8,0.1551975,1.49477,0,0.30045328,0.018472984,1.2200973,0,-0.050313443,0.6359553,0.46499658,0,0.4946934,0.92048675,0.028877808,0,0.9749842,0.74378383,0.00867746,0,0.87413,841.7216,29.41392,1083.8828,845.34796,632.6007,0.677978516,0.091308594,0.752746582,3.200073242,-3.925323486,-0.082244873,1,1,4,4,1,50,,135,RHC,M,Yes,Left
16:09.8,-0.1699845,1.49477,0,0.42026353,-0.18669926,1.2200973,0,-0.003817629,0.5777156,0.46499658,0,0.63160264,0.82217973,0.028877808,0,1.020075,0.80792356,0.00867746,0,0.8414054,881.6117,1599.6337,979.92676,844.1392,694.65204,0.691711426,0.091369629,0.737548828,3.439331055,-4.755249023,-0.02243042,1,1,4,4,1,50,,136,RHC,M,Yes,Left
16:10.9,-0.10869649,1.49477,0,0.4774235,0.12971188,1.2200973,0,0.25916135,0.8468662,0.46499658,0,0.6956869,0.88145024,0.028877808,0,1.1271262,0.78904843,0.00867746,0,0.9200342,859.45056,847.3626,605.6044,848.5714,847.76556,0.699890137,0.096923828,0.739013672,1.719665527,-5.009460449,-0.321502686,1,1,4,4,1,50,,137,RHC,M,Yes,Left
16:11.9,-0.020761363,1.49477,0,0.28576022,0.15574989,1.2200973,0,0.29420483,0.8205074,0.46499658,0,0.6635921,0.903839,0.028877808,0,1.1629684,0.82546586,0.00867746,0,0.894596,884.0293,937.619,791.3553,858.24176,599.15753,0.689331055,0.096313477,0.732055664,3.155212402,-5.129089355,-0.628051758,1,1,4,4,1,50,,138,RHC,M,Yes,Left
16:12.9,-0.036469992,1.49477,0,0.22630036,0.003845599,1.2200973,0,0.18998659,0.80764955,0.46499658,0,0.6669114,0.9936999,0.028877808,0,1.0489581,0.8244781,0.00867746,0,0.84852386,858.24176,1577.4725,874.35895,848.5714,749.0476,0.701293945,0.085876465,0.733764648,1.600036621,-3.790740967,-0.852355957,1,1,4,4,1,50,,139,RHC,M,Yes,Left
